policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
D_only,4fc82b26aecb47d2,0,3,D_only,1,2,1.080295664517105,0.006825671310138226,0.01831662415100488,2,1,1.5175541618528925,2.038398434234543,2.4440474039125646
D_only,4fc82b26aecb47d2,0,4,D_only,1,2,1.0458023470416498,0.03449331747545514,0.05280994162646002,2,1,1.5655534247936338,2.0476992476126226,3.3867473275937434
D_only,4fc82b26aecb47d2,0,5,D_only,2,2,1.0508233349375584,-0.005020987895908657,0.047788953730551365,2,1,1.5679493835852432,3.035350507283047,3.3967001091317095
D_only,4fc82b26aecb47d2,0,6,D_only,2,2,1.0322845967421121,0.01853873819544627,0.06632769192599763,1,0,1.5703453423768525,4.023001766953471,3.4066528906696756
D_only,4fc82b26aecb47d2,0,7,D_only,2,2,1.00408784272805,0.028196754014062186,0.09452444594005982,1,0,1.572741301168462,5.010653026623896,3.4166056722076417
D_only,4fc82b26aecb47d2,0,8,D_only,0,2,1.0374986954261893,-0.03341085269813937,0.06111359324192045,1,0,2.0399002412890037,5.0520993878099345,3.9080003709010613
D_only,4fc82b26aecb47d2,0,9,D_only,2,2,1.01238569878931,0.02511299663687927,0.08622658987879972,1,0,2.042296200080613,6.039750647480359,3.9179531524390274
D_only,4fc82b26aecb47d2,0,10,D_only,1,2,1.0176866414176922,-0.005300942628382099,0.08092564725041762,1,0,2.0902954630213544,6.049051460858439,4.860653076120206
T_only,4fc82b26aecb47d2,0,1,T_only,2,2,1.0716837659161018,0.026928522752007744,0.026928522752007966,0,0,1.7765729290989731,1.0645219281770222,1.1589051427240045
T_only,4fc82b26aecb47d2,0,2,T_only,0,2,1.0853296844785223,-0.013645918562420478,0.013282604189587488,0,0,2.043723011561185,1.3967968855950326,1.5594801028437824
T_only,4fc82b26aecb47d2,0,3,T_only,1,2,1.082870010420589,0.0024596740579332366,0.015742278247520725,0,0,2.4679180446834987,1.6031579602079038,1.9289239951085975
T_only,4fc82b26aecb47d2,0,4,T_only,1,2,1.080589716797401,0.0022802936231880455,0.01802257187070877,0,0,2.8921130778058126,1.809519034820775,2.2983678873734124
