subject_hash,condition,y,kappa,kappa_null_mean,p_value,reject_at_0p05
44c8031cb036a735,Neutral,1,0.2441100757417815,0.16141506592640972,0.10617876424715057,False
44c8031cb036a735,Pleasant,2,0.17431720298608844,0.16045290818288785,0.35332933413317336,False
b4944c6ff08dc6f4,Negative,0,0.3748536205784461,0.15819324221196213,0.010197960407918417,True
b4944c6ff08dc6f4,Neutral,1,0.07714828082541268,0.1636080983942461,0.9512097580483904,False
b4944c6ff08dc6f4,Pleasant,2,0.20204834383606882,0.15832409260904143,0.23075384923015396,False
434c9b5ae514646b,Negative,0,0.18338850503769139,0.15696988222023078,0.30033993201359727,False
434c9b5ae514646b,Neutral,1,0.1139201855087651,0.16318693351241895,0.7918416316736653,False
434c9b5ae514646b,Pleasant,2,0.3386998578148038,0.1566582610208753,0.020795840831833633,True
bdd2d3af3a5a1213,Negative,0,0.2697716304788797,0.1577829714372968,0.09438112377524495,False
bdd2d3af3a5a1213,Neutral,1,0.2124043345803776,0.16279702061848922,0.19196160767846432,False
bdd2d3af3a5a1213,Pleasant,2,0.4530279944597871,0.1568185441630882,0.001799640071985603,True
8b940be7fb78aaa6,Negative,0,0.3874320298940273,0.16333156258408693,0.0007998400319936012,True
8b940be7fb78aaa6,Neutral,1,0.335872086150138,0.16068257988763052,0.021795640871825634,True
8b940be7fb78aaa6,Pleasant,2,0.3285276766799442,0.16527301321811802,0.008998200359928014,True
cd70bea023f752a0,Negative,0,0.21307301151046845,0.1620354578016083,0.1889622075584883,False
cd70bea023f752a0,Neutral,1,0.17726428566261596,0.16367696067133694,0.357128574285143,False
cd70bea023f752a0,Pleasant,2,0.2100149063295945,0.16382250141875582,0.20275944811037794,False
69f59c273b6e669a,Negative,0,0.1535934155896342,0.1624992710512395,0.505498900219956,False
69f59c273b6e669a,Neutral,1,0.11762583945008742,0.16122349433115268,0.7358528294341132,False
69f59c273b6e669a,Pleasant,2,0.3021153235349967,0.1604244792608971,0.04279144171165767,True
8241649609f88ccd,Negative,0,0.1885078180888457,0.16049519106158142,0.28274345130973805,False
8241649609f88ccd,Neutral,1,0.21419639013588895,0.16024120388098123,0.1931613677264547,False
8241649609f88ccd,Pleasant,2,0.1725091869076407,0.16413349360655735,0.39132173565286943,False
6e4001871c0cf27c,Negative,0,0.16201151540076109,0.16242659441840712,0.4423115376924615,False
6e4001871c0cf27c,Neutral,1,0.24615369059199155,0.16171390767783297,0.11137772445510898,False
6e4001871c0cf27c,Pleasant,2,0.3793537707946549,0.1560073654778575,0.007198560287942412,True
e3d6c4d4599e0088,Negative,0,0.25350085333375705,0.15855851001408286,0.10877824435112977,False
e3d6c4d4599e0088,Neutral,1,0.14722879663481825,0.15801792178762702,0.4777044591081784,False
