policy,epsilon,episode,success,steps,final_entropy,brier
efe,0.0,522,1,1,0.2155,0.0031
efe,0.0,523,1,8,0.3028,0.0162
efe,0.0,524,1,6,0.2983,0.0098
efe,0.0,525,1,10,0.3322,0.0095
efe,0.0,526,1,3,0.3025,0.0115
efe,0.0,527,1,1,0.2548,0.0054
efe,0.0,528,1,6,0.3217,0.0194
efe,0.0,529,1,2,0.165,0.003
efe,0.0,530,1,1,0.0249,0.0
efe,0.0,531,1,1,0.4712,0.0581
efe,0.0,532,1,1,0.3008,0.0134
efe,0.0,533,1,2,0.0897,0.0006
efe,0.0,534,1,1,0.1592,0.0025
efe,0.0,535,1,1,0.5318,0.0732
efe,0.0,536,1,11,0.5145,0.0627
efe,0.0,537,1,3,0.4382,0.0291
efe,0.0,538,0,15,0.3972,1.4939
efe,0.0,539,1,1,0.0949,0.0005
efe,0.0,540,1,2,0.4349,0.0281
efe,0.0,541,1,1,0.2125,0.0049
efe,0.0,542,1,6,0.473,0.0297
efe,0.0,543,1,2,0.2062,0.0044
efe,0.0,544,1,9,0.472,0.0651
efe,0.0,545,1,9,0.0876,0.0004
efe,0.0,546,1,1,0.3125,0.0163
efe,0.0,547,1,6,0.0213,0.0
efe,0.0,548,1,8,0.0477,0.0001
efe,0.0,549,1,3,0.3614,0.0188
efe,0.0,550,0,15,0.0,2.0
efe,0.0,551,1,4,0.0326,0.0001
efe,0.0,552,1,1,0.071,0.0002
efe,0.0,553,1,1,0.4895,0.0671
efe,0.0,554,1,13,0.4532,0.0566
efe,0.0,555,1,3,0.1594,0.0015
efe,0.0,556,1,1,0.0617,0.0001
efe,0.0,557,1,2,0.431,0.0328
efe,0.0,558,1,10,0.0365,0.0001
efe,0.0,559,1,1,0.1263,0.001
efe,0.0,560,1,4,0.3611,0.0144
efe,0.0,561,1,1,0.389,0.0158
efe,0.0,562,1,3,0.3341,0.0209
efe,0.0,563,1,2,0.5351,0.0517
efe,0.0,564,1,1,0.2497,0.0053
efe,0.0,565,0,15,0.0139,1.9924
efe,0.0,566,1,4,0.4726,0.0497
efe,0.0,567,1,1,0.0726,0.0003
efe,0.0,568,1,6,0.0186,0.0
efe,0.0,569,1,1,0.1273,0.0009
efe,0.0,570,1,2,0.5201,0.0643
efe,0.0,571,1,2,0.0104,0.0
efe,0.0,572,1,5,0.0497,0.0001
efe,0.0,573,1,5,0.2514,0.0092
efe,0.0,574,1,10,0.0045,0.0
efe,0.0,575,0,15,0.6087,0.9871
efe,0.0,576,1,6,0.1465,0.0022
efe,0.0,577,1,1,0.0014,0.0
efe,0.0,578,1,8,0.0085,0.0
efe,0.0,579,0,15,0.2467,1.7397
efe,0.0,580,1,6,0.2517,0.0052
efe,0.0,581,1,1,0.0014,0.0
efe,0.0,582,1,6,0.0326,0.0001
efe,0.0,583,1,1,0.0516,0.0001
efe,0.0,584,1,1,0.5438,0.0558
efe,0.0,585,1,1,0.1263,0.001
efe,0.0,586,1,2,0.1199,0.0013
efe,0.0,587,1,1,0.0117,0.0
efe,0.0,588,1,1,0.1273,0.0009
efe,0.0,589,1,2,0.1193,0.0013
efe,0.0,590,1,5,0.031,0.0
efe,0.0,591,1,2,0.0288,0.0
efe,0.0,592,1,2,0.1871,0.0039
efe,0.0,593,1,1,0.0673,0.0003
efe,0.0,594,1,1,0.0074,0.0
efe,0.0,595,1,5,0.1176,0.0007
efe,0.0,596,1,1,0.071,0.0002
efe,0.0,597,1,5,0.2442,0.0056
efe,0.0,598,1,7,0.0129,0.0
efe,0.0,599,1,1,0.3836,0.0145
efe,0.0,600,1,2,0.1189,0.0007
efe,0.0,601,1,9,0.1747,0.0036
efe,0.0,602,0,15,0.0079,1.996
efe,0.0,603,1,1,0.0742,0.0004
efe,0.0,604,1,7,0.1564,0.0027
efe,0.0,605,0,15,0.0,2.0
efe,0.0,606,1,1,0.065,0.0002
efe,0.0,607,1,1,0.142,0.0019
efe,0.0,608,1,1,0.5049,0.0774
efe,0.0,609,1,4,0.0502,0.0001
efe,0.0,610,1,1,0.2706,0.0079
efe,0.0,611,1,2,0.2173,0.0038
efe,0.0,612,1,1,0.0446,0.0001
efe,0.0,613,1,4,0.4471,0.044
