seed,fold,balanced_accuracy,macro_f1,roc_auc,n_test,config,config_name,feature_dim
45,4,0.4047619047619047,0.4041019955654102,0.5560279667422525,126,A3,T,68
46,0,0.3798449612403101,0.362926595094702,0.5630070308274743,129,A3,T,68
46,1,0.3095238095238095,0.3076776008521563,0.49518140589569165,126,A3,T,68
46,2,0.373015873015873,0.37341585617447687,0.5397770219198791,126,A3,T,68
46,3,0.38095238095238093,0.37917746937115554,0.5482804232804233,126,A3,T,68
46,4,0.30952380952380953,0.3095118885834857,0.5102985638699925,126,A3,T,68
42,0,0.4186046511627907,0.40440687213882676,0.5708491076257437,129,A4,C,3
42,1,0.36507936507936506,0.3368279913943893,0.5889077853363568,126,A4,C,3
42,2,0.34920634920634913,0.33158399233165586,0.5219198790627362,126,A4,C,3
42,3,0.3650793650793651,0.342282589989012,0.5651927437641723,126,A4,C,3
42,4,0.373015873015873,0.370110696860904,0.49489795918367346,126,A4,C,3
43,0,0.4108527131782946,0.4055503488493179,0.5432666306111411,129,A4,C,3
43,1,0.38888888888888884,0.3803340772299994,0.5400604686318973,126,A4,C,3
43,2,0.38095238095238093,0.3646619428582231,0.5436507936507937,126,A4,C,3
43,3,0.3253968253968254,0.2784630030652062,0.5083144368858655,126,A4,C,3
43,4,0.42063492063492064,0.4129307286481043,0.5976946334089192,126,A4,C,3
44,0,0.3488372093023256,0.3392575411232128,0.5056787452677123,129,A4,C,3
44,1,0.3968253968253968,0.3820756585462468,0.565854119425548,126,A4,C,3
44,2,0.3412698412698412,0.32368780557952254,0.5162509448223734,126,A4,C,3
44,3,0.3253968253968254,0.3088765928554679,0.5053854875283447,126,A4,C,3
44,4,0.373015873015873,0.35781803439593735,0.582766439909297,126,A4,C,3
45,0,0.29457364341085274,0.2876036991704067,0.5356048314404181,129,A4,C,3
45,1,0.4444444444444444,0.4320658508158508,0.5764361300075586,126,A4,C,3
45,2,0.31746031746031744,0.2844127550009903,0.47203325774754346,126,A4,C,3
45,3,0.38888888888888884,0.3742690058479532,0.5689720332577476,126,A4,C,3
45,4,0.36507936507936506,0.3513421890134219,0.5195578231292517,126,A4,C,3
46,0,0.3488372093023256,0.34438775510204084,0.5459707950243375,129,A4,C,3
46,1,0.38095238095238093,0.3726424595327034,0.5489417989417988,126,A4,C,3
46,2,0.35714285714285715,0.3213801182850557,0.5414777021919879,126,A4,C,3
46,3,0.3650793650793651,0.34949633699633703,0.5585789871504158,126,A4,C,3
46,4,0.35714285714285715,0.3377314814814814,0.5287226001511716,126,A4,C,3
42,0,0.42635658914728686,0.4252422067033534,0.5956372814133767,129,A5,D + T,306
42,1,0.4444444444444444,0.44503389330975535,0.6284013605442177,126,A5,D + T,306
42,2,0.3968253968253968,0.39399224806201555,0.5920256991685563,126,A5,D + T,306
42,3,0.42857142857142855,0.42239760006054894,0.6357709750566894,126,A5,D + T,306
42,4,0.4365079365079365,0.435299752084742,0.6147014361300075,126,A5,D + T,306
43,0,0.42635658914728686,0.4256922426548298,0.6219578150351542,129,A5,D + T,306
43,1,0.3650793650793651,0.36274836274836275,0.563869992441421,126,A5,D + T,306
43,2,0.4523809523809524,0.43355919442875973,0.6089380196523054,126,A5,D + T,306
43,3,0.4761904761904763,0.4741006579509528,0.6417233560090704,126,A5,D + T,306
43,4,0.4523809523809524,0.4525193209814046,0.6389833711262283,126,A5,D + T,306
44,0,0.3953488372093023,0.387733423144053,0.594104921579232,129,A5,D + T,306
44,1,0.41269841269841273,0.41134385084096975,0.5866402116402116,126,A5,D + T,306
44,2,0.4444444444444445,0.442225984368621,0.6310468631897204,126,A5,D + T,306
44,3,0.5158730158730159,0.5148685522230768,0.667989417989418,126,A5,D + T,306
44,4,0.4841269841269842,0.47938489352599406,0.6583522297808012,126,A5,D + T,306
45,0,0.4573643410852713,0.4539622001864565,0.6035694970254192,129,A5,D + T,306
45,1,0.45238095238095233,0.44502923976608183,0.622260015117158,126,A5,D + T,306
45,2,0.38095238095238093,0.3801390989357251,0.5689720332577476,126,A5,D + T,306
45,3,0.4523809523809524,0.44987294401077355,0.6045918367346939,126,A5,D + T,306
45,4,0.4761904761904762,0.4728167239986669,0.6632653061224489,126,A5,D + T,306
46,0,0.44961240310077516,0.4493006993006993,0.5892374256354787,129,A5,D + T,306
46,1,0.4444444444444445,0.4408906696140738,0.6017573696145124,126,A5,D + T,306
46,2,0.4444444444444444,0.4436475328726024,0.6147959183673469,126,A5,D + T,306
46,3,0.4365079365079365,0.4333785004516712,0.6418178382464096,126,A5,D + T,306
46,4,0.41269841269841273,0.414274322169059,0.5836167800453516,126,A5,D + T,306
42,0,0.45736434108527124,0.4567786902200676,0.6211465657111952,129,A6,E + D,2414
42,1,0.5,0.4985083750931913,0.6441798941798942,126,A6,E + D,2414
42,2,0.5079365079365079,0.5028985507246376,0.6688397581254724,126,A6,E + D,2414
42,3,0.4523809523809524,0.4470629771834591,0.6812169312169313,126,A6,E + D,2414
42,4,0.5,0.4973076019587648,0.6363378684807256,126,A6,E + D,2414
43,0,0.441860465116279,0.44365971107544144,0.6200648999459167,129,A6,E + D,2414
43,1,0.4761904761904762,0.4773136773136773,0.6359599395313681,126,A6,E + D,2414
43,2,0.4761904761904761,0.46501242727992786,0.6603363567649282,126,A6,E + D,2414
43,3,0.5476190476190476,0.5446794828403168,0.6874527588813303,126,A6,E + D,2414
43,4,0.5,0.49650349650349646,0.671485260770975,126,A6,E + D,2414
44,0,0.44961240310077516,0.44316900849408586,0.6343068325220841,129,A6,E + D,2414
44,1,0.5158730158730158,0.5160530841188811,0.652588813303099,126,A6,E + D,2414
44,2,0.507936507936508,0.5100829395751963,0.6637377173091458,126,A6,E + D,2414
44,3,0.4920634920634921,0.49294853833940416,0.6716742252456537,126,A6,E + D,2414
44,4,0.4603174603174603,0.4571935337548089,0.6776266061980348,126,A6,E + D,2414
45,0,0.48062015503875966,0.47988614800759016,0.662970975301965,129,A6,E + D,2414
45,1,0.5079365079365079,0.50516497228302,0.6616591080876795,126,A6,E + D,2414
45,2,0.42063492063492064,0.41675209511146294,0.5886243386243386,126,A6,E + D,2414
45,3,0.5,0.49767441860465117,0.674697656840514,126,A6,E + D,2414
45,4,0.5,0.5007742129023455,0.6528722600151171,126,A6,E + D,2414
46,0,0.4883720930232558,0.48495635223324013,0.7015503875968992,129,A6,E + D,2414
46,1,0.4444444444444444,0.43231287231287235,0.6057256235827664,126,A6,E + D,2414
46,2,0.42063492063492064,0.41852812215829793,0.6660997732426304,126,A6,E + D,2414
46,3,0.4523809523809524,0.44977462249267525,0.6427626606198036,126,A6,E + D,2414
46,4,0.4444444444444444,0.4414502289560917,0.6338813303099017,126,A6,E + D,2414
42,0,0.44961240310077527,0.4462291241113607,0.6372814133765999,129,A7,E + T,2244
42,1,0.4761904761904761,0.4784957579057212,0.6548563869992442,126,A7,E + T,2244
42,2,0.4603174603174603,0.4524572649572649,0.6494708994708994,126,A7,E + T,2244
42,3,0.4523809523809524,0.4464363523187052,0.6785714285714285,126,A7,E + T,2244
42,4,0.4920634920634921,0.4881705634835423,0.6312358276643991,126,A7,E + T,2244
43,0,0.441860465116279,0.4436387288997996,0.6051018568595637,129,A7,E + T,2244
43,1,0.4523809523809524,0.4534617116731939,0.6315192743764172,126,A7,E + T,2244
43,2,0.4603174603174603,0.44977294367538273,0.6463529856386998,126,A7,E + T,2244
43,3,0.4920634920634921,0.48779528005534195,0.6884920634920636,126,A7,E + T,2244
43,4,0.48412698412698413,0.4787586256941941,0.6681783824640967,126,A7,E + T,2244
44,0,0.4728682170542636,0.4652520861842282,0.6537768162970975,129,A7,E + T,2244
44,1,0.48412698412698413,0.481473573619372,0.6299130763416477,126,A7,E + T,2244
44,2,0.4761904761904762,0.47902318406605865,0.6496598639455783,126,A7,E + T,2244
44,3,0.4523809523809524,0.45475224623240823,0.652116402116402,126,A7,E + T,2244
44,4,0.4603174603174603,0.45797470503352855,0.6694066515495086,126,A7,E + T,2244
45,0,0.441860465116279,0.43883104815004453,0.6540472327384171,129,A7,E + T,2244
45,1,0.4682539682539683,0.46256494264202414,0.6558012093726379,126,A7,E + T,2244
45,2,0.4047619047619048,0.4021930523937316,0.5775699168556311,126,A7,E + T,2244
45,3,0.5476190476190476,0.5402640614491522,0.7119236583522297,126,A7,E + T,2244
45,4,0.4841269841269842,0.4838470631023822,0.6453136810279667,126,A7,E + T,2244
46,0,0.4728682170542635,0.4714315833860426,0.6843338741662159,129,A7,E + T,2244
46,1,0.3888888888888889,0.38185182515079424,0.5854119425547998,126,A7,E + T,2244
46,2,0.4444444444444444,0.4405904890691909,0.6475812547241119,126,A7,E + T,2244
46,3,0.4761904761904762,0.4722432816624924,0.6366213151927438,126,A7,E + T,2244
46,4,0.4682539682539682,0.4705186704263864,0.6538170823885109,126,A7,E + T,2244
42,0,0.4573643410852713,0.45629540103989624,0.6285379484405985,129,A8,E + D + T,2482
42,1,0.4761904761904762,0.4760401721664275,0.6530612244897959,126,A8,E + D + T,2482
42,2,0.4682539682539682,0.4617973322444535,0.6602418745275888,126,A8,E + D + T,2482
42,3,0.4761904761904762,0.4676214833759591,0.6840513983371125,126,A8,E + D + T,2482
42,4,0.5396825396825397,0.5366717869943677,0.6375661375661376,126,A8,E + D + T,2482
43,0,0.434108527131783,0.43582743511964955,0.62015503875969,129,A8,E + D + T,2482
43,1,0.49206349206349204,0.49259035465932016,0.6349206349206349,126,A8,E + D + T,2482
43,2,0.4761904761904762,0.4629724997425069,0.6614701436130007,126,A8,E + D + T,2482
43,3,0.5476190476190476,0.5459302325581395,0.6982237339380196,126,A8,E + D + T,2482
43,4,0.5158730158730159,0.5110325464377392,0.6789493575207861,126,A8,E + D + T,2482
44,0,0.44186046511627913,0.43414224664224665,0.638994050838291,129,A8,E + D + T,2482
44,1,0.5238095238095238,0.5245166713365088,0.6597694633408918,126,A8,E + D + T,2482
44,2,0.5158730158730159,0.5188548693997578,0.67072940287226,126,A8,E + D + T,2482
44,3,0.4603174603174603,0.4621212121212121,0.6663832199546484,126,A8,E + D + T,2482
44,4,0.5158730158730158,0.5135939396001316,0.6824452003023431,126,A8,E + D + T,2482
45,0,0.4728682170542635,0.4724253715633026,0.6637822246259238,129,A8,E + D + T,2482
45,1,0.5,0.498328446907429,0.6698790627362056,126,A8,E + D + T,2482
45,2,0.4444444444444444,0.44014606792384575,0.5880574452003023,126,A8,E + D + T,2482
45,3,0.5079365079365079,0.5034734443391544,0.6831065759637188,126,A8,E + D + T,2482
45,4,0.4920634920634921,0.492193245556064,0.6564625850340136,126,A8,E + D + T,2482
46,0,0.4883720930232558,0.4837194169427435,0.6965927528393726,129,A8,E + D + T,2482
46,1,0.42063492063492064,0.40844824416252984,0.6059145880574452,126,A8,E + D + T,2482
46,2,0.4682539682539683,0.4655997728286885,0.67224111866969,126,A8,E + D + T,2482
46,3,0.4682539682539682,0.46672788987026087,0.6442743764172335,126,A8,E + D + T,2482
46,4,0.4285714285714286,0.42706045966915535,0.641156462585034,126,A8,E + D + T,2482
42,0,0.4573643410852713,0.45629540103989624,0.6277266991166396,129,A9,E + D + T + C,2485
42,1,0.48412698412698413,0.48337519920049693,0.6515495086923658,126,A9,E + D + T + C,2485
42,2,0.4761904761904761,0.47065217391304354,0.659297052154195,126,A9,E + D + T + C,2485
42,3,0.4761904761904762,0.4676214833759591,0.683390022675737,126,A9,E + D + T + C,2485
42,4,0.5238095238095238,0.5215425441431634,0.6375661375661376,126,A9,E + D + T + C,2485
43,0,0.434108527131783,0.43582743511964955,0.6197043446908239,129,A9,E + D + T + C,2485
43,1,0.49206349206349204,0.49259035465932016,0.6345427059712775,126,A9,E + D + T + C,2485
43,2,0.4761904761904762,0.4599867724867725,0.6609032501889645,126,A9,E + D + T + C,2485
43,3,0.5476190476190476,0.5459302325581395,0.6978458049886621,126,A9,E + D + T + C,2485
43,4,0.5158730158730159,0.5110325464377392,0.6784769463340892,126,A9,E + D + T + C,2485
44,0,0.46511627906976744,0.4568925050852761,0.6391743284658374,129,A9,E + D + T + C,2485
