router,seed,fold,ptype,level,balanced_accuracy,macro_f1
fixed_A0,42,2,graph_perturbation,0.1,0.4603174603174603,0.45430494585894055
fixed_A1,42,2,graph_perturbation,0.1,0.4920634920634921,0.4883894671128714
fixed_A2,42,2,graph_perturbation,0.1,0.42063492063492064,0.42254310854402055
fixed_A3,42,2,graph_perturbation,0.1,0.31746031746031744,0.19725371347326673
fixed_A5,42,2,graph_perturbation,0.1,0.36507936507936506,0.23699074630453074
fixed_A6,42,2,graph_perturbation,0.1,0.5079365079365079,0.5028985507246376
fixed_A7,42,2,graph_perturbation,0.1,0.48412698412698413,0.4747614988024195
fixed_A8,42,2,graph_perturbation,0.1,0.5079365079365079,0.4962100782341922
fixed_A9,42,2,graph_perturbation,0.1,0.5079365079365079,0.4962100782341922
oracle,42,2,graph_perturbation,0.1,0.8412698412698413,0.8366308243727598
perturbation_label,42,2,graph_perturbation,0.1,0.4603174603174603,0.45430494585894055
fixed_A0,42,2,graph_perturbation,0.2,0.4603174603174603,0.45430494585894055
fixed_A1,42,2,graph_perturbation,0.2,0.4920634920634921,0.4883894671128714
fixed_A2,42,2,graph_perturbation,0.2,0.42063492063492064,0.42254310854402055
fixed_A3,42,2,graph_perturbation,0.2,0.3253968253968254,0.20779220779220778
fixed_A5,42,2,graph_perturbation,0.2,0.373015873015873,0.2413177539759818
fixed_A6,42,2,graph_perturbation,0.2,0.5079365079365079,0.5028985507246376
fixed_A7,42,2,graph_perturbation,0.2,0.48412698412698413,0.47479280371942584
fixed_A8,42,2,graph_perturbation,0.2,0.49206349206349204,0.48140589569161
fixed_A9,42,2,graph_perturbation,0.2,0.5079365079365079,0.5001180521171443
oracle,42,2,graph_perturbation,0.2,0.8492063492063492,0.8446894712549362
perturbation_label,42,2,graph_perturbation,0.2,0.4603174603174603,0.45430494585894055
fixed_A0,42,2,graph_perturbation,0.3,0.4603174603174603,0.45430494585894055
fixed_A1,42,2,graph_perturbation,0.3,0.4920634920634921,0.4883894671128714
fixed_A2,42,2,graph_perturbation,0.3,0.42063492063492064,0.42254310854402055
fixed_A3,42,2,graph_perturbation,0.3,0.3412698412698412,0.19698314108251994
fixed_A5,42,2,graph_perturbation,0.3,0.35714285714285715,0.21433233259365617
fixed_A6,42,2,graph_perturbation,0.3,0.5079365079365079,0.5028985507246376
fixed_A7,42,2,graph_perturbation,0.3,0.4841269841269842,0.4771825396825397
fixed_A8,42,2,graph_perturbation,0.3,0.5158730158730158,0.5090135867574892
fixed_A9,42,2,graph_perturbation,0.3,0.5,0.49236609947286486
oracle,42,2,graph_perturbation,0.3,0.8412698412698413,0.8366308243727598
perturbation_label,42,2,graph_perturbation,0.3,0.4603174603174603,0.45430494585894055
fixed_A0,42,3,clean,clean,0.4603174603174603,0.46171257167820734
fixed_A1,42,3,clean,clean,0.4761904761904762,0.4703425229741019
fixed_A2,42,3,clean,clean,0.4285714285714286,0.42458226704802043
fixed_A3,42,3,clean,clean,0.3412698412698412,0.3400277656542691
fixed_A5,42,3,clean,clean,0.42857142857142855,0.42239760006054894
fixed_A6,42,3,clean,clean,0.4523809523809524,0.4470629771834591
fixed_A7,42,3,clean,clean,0.4523809523809524,0.4464363523187052
fixed_A8,42,3,clean,clean,0.4761904761904762,0.4676214833759591
fixed_A9,42,3,clean,clean,0.4761904761904762,0.4676214833759591
oracle,42,3,clean,clean,0.8809523809523809,0.8810739238224025
perturbation_label,42,3,clean,clean,0.4603174603174603,0.46171257167820734
fixed_A0,42,3,amplitude_noise,20,0.41269841269841273,0.4125189517002383
fixed_A1,42,3,amplitude_noise,20,0.4682539682539682,0.46497483931703815
fixed_A2,42,3,amplitude_noise,20,0.3888888888888889,0.3883978661392969
fixed_A3,42,3,amplitude_noise,20,0.42857142857142855,0.42798009882894467
fixed_A5,42,3,amplitude_noise,20,0.3412698412698412,0.3360740142801512
fixed_A6,42,3,amplitude_noise,20,0.4047619047619047,0.40245281633252555
fixed_A7,42,3,amplitude_noise,20,0.4523809523809524,0.44584523323813413
fixed_A8,42,3,amplitude_noise,20,0.3968253968253968,0.3967848814700772
fixed_A9,42,3,amplitude_noise,20,0.3253968253968254,0.32509274463297455
oracle,42,3,amplitude_noise,20,0.9523809523809524,0.9520874194452228
perturbation_label,42,3,amplitude_noise,20,0.41269841269841273,0.4125189517002383
fixed_A0,42,3,amplitude_noise,10,0.34920634920634924,0.3385714285714286
fixed_A1,42,3,amplitude_noise,10,0.4444444444444444,0.44028059499661937
fixed_A2,42,3,amplitude_noise,10,0.32539682539682535,0.314434669273379
fixed_A3,42,3,amplitude_noise,10,0.31746031746031744,0.31701779057870083
fixed_A5,42,3,amplitude_noise,10,0.3650793650793651,0.3650884744141559
