diagnosis,config_id,feature_set,dimension,n_subjects,n_positive,n_negative,prevalence,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,macro_f1_mean,macro_f1_sd,positive_precision_mean,positive_recall_mean,specificity_mean,negative_predictive_value_mean,fold_balanced_accuracy_values,fold_roc_auc_values
MDD,C5,E + D + T,2482,206,142,64,0.6893203883495146,0.5150909435392195,0.07811392720090136,0.451392572944297,0.5765725653656688,0.5267651888341545,0.07094799825539205,0.4693003978779841,0.5823733737526842,0.49870913565339514,0.09139557237636052,0.6981766917293233,0.8455665024630541,0.18461538461538463,0.36666666666666664,"[0.6061007957559682, 0.5082417582417582, 0.5590659340659341, 0.5054945054945055, 0.39655172413793105]","[0.5994694960212201, 0.47527472527472525, 0.5906593406593407, 0.4368131868131868, 0.5316091954022989]"
MDD,C6,C,3,206,142,64,0.6893203883495146,0.5015662498421118,0.06120254993371354,0.45261462675255776,0.5462043703423014,0.49628015662498415,0.05616545333173689,0.45137678413540483,0.5411835291145637,0.4629074450634322,0.06682208780434311,0.6866605015211827,0.4236453201970443,0.5794871794871794,0.314930001772107,"[0.480106100795756, 0.554945054945055, 0.40934065934065933, 0.5576923076923077, 0.5057471264367817]","[0.4403183023872679, 0.5494505494505494, 0.43956043956043955, 0.554945054945055, 0.4971264367816092]"
PTSD,C1,E,2176,206,82,124,0.39805825242718446,0.5019264705882354,0.08304012467092835,0.43894117647058833,0.5703088235294118,0.517813725490196,0.0863846472798226,0.4390588235294118,0.5730882352941177,0.4927764364903272,0.09076743295781792,0.39416666666666667,0.29485294117647054,0.7090000000000001,0.6042583426028921,"[0.49764705882352944, 0.4007352941176471, 0.45375, 0.61875, 0.5387500000000001]","[0.5364705882352941, 0.3700980392156863, 0.55, 0.5975, 0.5349999999999999]"
PTSD,C2,D,238,206,82,124,0.39805825242718446,0.5181323529411765,0.018716059246070553,0.5041764705882353,0.5334705882352943,0.5372941176470588,0.03562249202001823,0.5112941176470589,0.5660000000000001,0.5148787401739752,0.01675634335673531,0.41995670995671,0.4242647058823529,0.6120000000000001,0.6176383876928342,"[0.49529411764705883, 0.5441176470588236, 0.5275000000000001, 0.5075000000000001, 0.51625]","[0.536470588235294, 0.5, 0.59, 0.55, 0.51]"
PTSD,C3,T,68,206,82,124,0.39805825242718446,0.45690686274509806,0.09162173914738041,0.4028137254901961,0.5402794117647058,0.4779999999999999,0.12626327913308544,0.39373529411764707,0.593,0.4493009670899385,0.07963621880386257,0.3424912280701754,0.43014705882352944,0.4836666666666666,0.5727513227513228,"[0.39764705882352946, 0.4056372549019608, 0.615, 0.4075, 0.45875]","[0.44941176470588234, 0.34558823529411764, 0.685, 0.48250000000000004, 0.4275]"
PTSD,C4,D + T,306,206,82,124,0.39805825242718446,0.5286519607843136,0.08305329786316563,0.46343627450980385,0.5950588235294118,0.5294019607843137,0.09819096344270684,0.44492156862745097,0.5979411764705883,0.5263671223919772,0.08419256643791925,0.4411164815576581,0.4139705882352941,0.6433333333333333,0.620095238095238,"[0.5552941176470588, 0.4142156862745098, 0.64125, 0.53625, 0.49625]","[0.5647058823529412, 0.3848039215686275, 0.6425, 0.5700000000000001, 0.485]"
PTSD,C5,E + D + T,2482,206,82,124,0.39805825242718446,0.47121078431372554,0.07492255308634745,0.40755882352941175,0.5250735294117648,0.5025294117647059,0.07668574088232621,0.43408823529411766,0.545,0.45533005590900333,0.09080529727366693,0.32662337662337665,0.23308823529411765,0.7093333333333333,0.585144502121699,"[0.5270588235294118, 0.3627450980392157, 0.4225, 0.51625, 0.5275000000000001]","[0.52, 0.36764705882352944, 0.5475, 0.5525, 0.5249999999999999]"
PTSD,C6,C,3,206,82,124,0.39805825242718446,0.51478431372549,0.06887451457316669,0.4572205882352941,0.5658823529411764,0.5130882352941176,0.09745912327402992,0.42932352941176466,0.5714705882352942,0.5046396091776831,0.0632644085199481,0.4100877192982456,0.5382352941176471,0.4913333333333333,0.6192048360846314,"[0.5647058823529412, 0.4142156862745098, 0.58375, 0.47875, 0.5325]","[0.5623529411764706, 0.34558823529411764, 0.5925, 0.5474999999999999, 0.5175000000000001]"
GAD,C1,E,2176,206,60,146,0.2912621359223301,0.49206896551724133,0.061107184982998844,0.43793103448275855,0.5329885057471264,0.4443486590038314,0.10899061592918452,0.36159003831417624,0.5288673371647491,0.45140162001255346,0.06907700742099945,0.38,0.06666666666666667,0.9174712643678161,0.7043345543345543,"[0.525, 0.46551724137931033, 0.5316091954022989, 0.39655172413793105, 0.5416666666666666]","[0.4027777777777778, 0.2988505747126437, 0.42528735632183906, 0.5086206896551724, 0.5862068965517242]"
GAD,C2,D,238,206,60,146,0.2912621359223301,0.44459770114942526,0.048841446070668426,0.40632183908045977,0.4828735632183908,0.4324137931034482,0.057316746303247686,0.39356321839080455,0.482183908045977,0.4414935742061913,0.0430335234802618,0.22574272133095663,0.3,0.5891954022988506,0.6726666666666667,"[0.4916666666666667, 0.40086206896551724, 0.4281609195402299, 0.5014367816091954, 0.40086206896551724]","[0.38333333333333336, 0.3908045977011494, 0.44252873563218387, 0.5258620689655172, 0.41954022988505746]"
